stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url
BROCH_01,66A,48.52448696774219,7.707974016666412,Brochet,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=66A
BROCH_02,66B,48.52424270847325,7.707893550395966,Brochet,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=66B
BROGL_01,67A,48.584826401312085,7.749513387680054,Broglie,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=67A
BROGL_02,67B,48.584663164582835,7.749073505401611,Broglie,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=67B
BRUCH_01,68A,48.570085063779395,7.7110545337200165,Bruche,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=68A
BRUCH_02,68B,48.5702341490171,7.711271792650223,Bruche,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=68B
BRUNI_01,69C,48.58584750606166,7.761430442333221,Brant Université,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=69C
BRUNI_02,69A,48.5855911228818,7.761671841144562,Brant Université,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=69A
BRUNI_03,69B,48.58563459278587,7.7613164484500885,Brant Université,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=69B
BRUXE_01,70A,48.5841858715565,7.775149941444397,Bruxelles,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=70A
BRUXE_02,70B,48.584153933572274,7.775265276432037,Bruxelles,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=70B
BUGAT_01,71A,48.589410121792916,7.687845379114151,Bugatti,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=71A
BUGAT_02,71B,48.589503264502405,7.688592374324799,Bugatti,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=71B
BUSSI_01,72A,48.621292151381475,7.7978722751140594,Bussière,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=72A
BUSSI_02,72B,48.62113701111906,7.7973975241184235,Bussière,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=72B
CACRO_01,73A,48.60964821470575,7.7120912075042725,Campus Cronenbourg-Schiltigheim,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=73A
CACRO_02,73B,48.60979008953222,7.711922228336334,Campus Cronenbourg-Schiltigheim,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=73B
CAHAU_01,74A,48.59613990587312,7.788214981555939,Carpe Haute,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=74A
CAHAU_02,74B,48.59608136673692,7.788290083408356,Carpe Haute,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=74B
CAILL_03,75B,48.52935414318684,7.732779085636139,Campus d'Illkirch,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=75B
CAILL_04,75C,48.529569957836266,7.732903808355331,Campus d'Illkirch,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=75C
CAILL_06,75A,48.529197832413765,7.732881009578705,Campus d'Illkirch,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=75A
CAILL_07,75D,48.529605482793265,7.732779085636139,Campus  d'Illkirch,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=75D
CAILL_08,75E,48.52952111097968,7.733091562986374,Campus d'Illkirch,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=75E
CANAL_01,76A,48.678464740760404,7.697227746248245,Canal,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=76A
CANAL_02,76B,48.678461198720925,7.697078883647919,Canal,http://applis.cts-strasbourg.fr/CTS_FicheHorairev3/ResultatsFiches.aspx?arret=76B
